espanya,Abad,Santiago Abad Viciano,24/07/1969,21,32,Barcelona,Barcelona,A,10,7,235,1802,215,831,4547
espanya,Abalde,Alberto Abalde Rodríguez,10/11/1958,32,33,Vigo,Pontevedra,A,2,1,46,161,24,67,760
espanya,Abalde,Alberto Abalde Díaz,15/12/1995,18,20,A Coruña,A Coruña,E,3,1,52,281,38,100,767
espanya,Abarca,Miguel Angel Abarca Ribas,28/03/1965,25,25,Barcelona,Barcelona,A,1,1,17,55,8,8,179
italia,Abbio,Alessandro Abbio,13/03/1971,30,33,Racconigi, ,E,4,3,72,516,118,121,1632
nuevazelanda,Abecrombie,Thomas Abercrombie,05/07/1987,27,27,Takapuna, ,A,1,1,6,36,1,6,64
espanya,Abia,Larry Abia Sila,08/08/1993,17,20,Valencia,Valencia,E,4,3,15,12,1,2,35
nigeria,Aboubacar,Seydou Aboubacar Hima,09/05/1994,21,21,Niamey, ,P,1,1,1,2,0,4,7
estadosunidos,Abram,Gerrod Brian Abram,20/03/1972,23,23,River Rouge,Michigan,B,1,1,12,179,27,29,390
estadosunidos,Abrams,Danya Earl Abrams,24/09/1974,24,30,Westchester,New York,F,7,5,220,3433,319,1364,6617
espanya,Abrines,Gabriel Abrines Martí,27/06/1966,26,30,Palma de Mallorca,Baleares,P,4,4,108,482,42,196,1771
espanya,Abrines,Alejandro Abrines Redondo,01/08/1993,18,22,Palma de Mallorca,Baleares,A,5,3,133,965,105,224,2281
estadosunidos,Abromaitis,Timothy James Abromaitis,17/09/1989,26,26,Waterbury,Connecticut,A,1,1,34,331,36,145,770
reinounido,Achara,Kieron Achara,03/07/1983,28,28,Stirling,Escocia,P,1,1,34,204,8,118,600
estadosunidos,Acker,Alex Acker,21/01/1983,24,24,Compton,California,A,1,1,30,201,30,51,529
estadosunidos,Ackles,George Edward Ackles,04/07/1967,24,24,Pittsburgh,Pennsylvania,P,1,1,12,129,9,96,419
estadosunidos,Adams,Thomas James Adams,05/10/1969,24,25,Mississippi,Mississippi,A,2,2,19,287,25,90,636
estadosunidos,Adams,Darius Adams,17/04/1989,25,26,Decatur,Illinois,B,2,1,56,789,145,141,1314
nigeria,Adeleke,Andrew Kehinde Adeleke,10/02/1983,28,28,Lagos, ,P,1,1,11,50,2,47,112
espanya,Adrián García,Adrián García Herepey-Csakanyi,02/02/1985,18,27,Madrid,Madrid,A,3,2,9,8,4,5,48
espanya,Adrián Núñez,Adrián Núñez Fernández,31/08/1984,19,20,Lugo,Lugo,E,2,1,8,4,0,3,13
estadosunidos,Agbelese,Danny Akintunde Agbelese,14/04/1990,25,25,Washington, ,P,1,1,23,97,10,94,329
estadosunidos,Ager,Maurice Ager,09/02/1984,25,25,Detroit,Michigan,A,1,1,13,39,4,13,146
